validstart,mapdate,none,d0,d1,d2,d3,d4,region_east_central,region_north_central,region_northeast,region_northwest,region_south_central,region_southeast,region_southwest,climatedivisionsid_201,climatedivisionsid_202,climatedivisionsid_203,climatedivisionsid_204,climatedivisionsid_205,climatedivisionsid_206,climatedivisionsid_207,is_drought_area
2021-06-29,20210629,0.0,0.0,459.78,2302.79,7606.0,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-06-29,20210629,0.0,1132.4,3203.09,2549.11,2277.72,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-06-22,20210622,0.0,0.0,0.0,1701.84,6164.97,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-06-22,20210622,0.0,84.65,1265.54,666.72,1775.23,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-06-22,20210622,0.0,0.0,459.78,2302.79,7606.0,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-06-22,20210622,0.0,0.0,0.0,72.62,3527.61,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-06-22,20210622,0.0,0.0,0.0,1943.67,10243.87,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-06-22,20210622,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-06-22,20210622,0.0,1132.4,3203.09,2549.11,2277.72,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-06-15,20210615,0.0,0.0,0.0,1701.84,6164.97,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-06-15,20210615,0.0,0.0,451.77,2310.8,7606.0,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-06-15,20210615,0.0,1132.4,3185.49,2566.72,2277.72,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-06-15,20210615,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-06-15,20210615,0.0,0.0,0.0,72.62,3527.61,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-06-15,20210615,0.0,0.0,0.0,1943.67,10243.87,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-06-15,20210615,0.0,84.65,1269.41,662.85,1775.23,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-06-08,20210608,0.0,0.0,0.0,1701.84,6164.97,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-06-08,20210608,0.0,0.0,0.0,1943.67,10243.87,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-06-08,20210608,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-06-08,20210608,0.0,1132.4,3185.49,2566.72,2277.72,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-06-08,20210608,0.0,0.0,0.0,72.62,3527.61,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-06-08,20210608,0.0,0.0,451.77,2310.8,7606.0,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-06-08,20210608,0.0,84.65,1269.41,662.85,1775.23,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
